address,chaoxiang,chuzufangshi,ditie,gongnuan,href,huxing,kanfangshijian,louceng,louxing,mianji,shangquan,zhifufangshi,zhuangxiu,zujin
科育小区,南,整租,距离地铁中关村479米,集中供暖,https://bj.5i5j.com/zufang/41471181.html,2室1厅,随时看房,中楼层/5层,板楼,54,中关村,押2付3,中装,8200
芳群园一区,东南,整租,距离地铁蒲黄榆304米,集中供暖,https://bj.5i5j.com/zufang/41476643.html,1室1厅,电话预约,低楼层/25层,塔楼,48,方庄,押3付3,精装,5200
水清木华园,南北,整租,距离地铁五道口796米,集中供暖,https://bj.5i5j.com/zufang/41477963.html,3室2厅,电话预约,低楼层/9层,板楼,148.56,五道口,押1付3,精装,22000
科育小区,南,整租,距离地铁中关村479米,集中供暖,https://bj.5i5j.com/zufang/41478266.html,1室1厅,电话预约,底层/6层,板楼,40,中关村,押2付3,精装,6500
大柳树甲17号院,南,整租,距离地铁魏公村1003米,集中供暖,https://bj.5i5j.com/zufang/41465140.html,1室1厅,电话预约,中楼层/5层,板楼,45,白石桥,押1付3,精装,6500
惠新里,南北,整租,距离地铁惠新西街南口502米,集中供暖,https://bj.5i5j.com/zufang/41466658.html,2室1厅,随时看房,中楼层/6层,板楼,60,惠新西街,押2付3,简装,7000
科印小区,南北,电话预约,0,整租,https://bj.5i5j.com/zufang/41466736.html,2室1厅,通州北苑,顶层/6层,板楼,75,距离地铁通州北苑456米,押2付3,中装,3800
国兴城,南北,整租,距离地铁后沙峪1020米,自供暖,https://bj.5i5j.com/zufang/41467941.html,3室2厅,随时看房,底层/13层,板楼,120,后沙峪,押1付3,精装,9000
交道口北二条35号院,南,整租,距离地铁北新桥517米,集中供暖,https://bj.5i5j.com/zufang/41473251.html,1室1厅,随时看房,高楼层/7层,板楼,40,交道口,押1付3,精装,5500
首师大宿舍,东北,整租,距离地铁花园桥706米,集中供暖,https://bj.5i5j.com/zufang/41476010.html,4室2厅,随时看房,底层/18层,塔楼,130,定慧寺,押1付3,豪装,16500
世界名园B区,南北,整租,0,自供暖,https://bj.5i5j.com/zufang/41478677.html,2室1厅,随时看房,高楼层/6层,板楼,90.68,窦店,押1付6,精装,2600
宋家庄家园三区,东,整租,距离地铁宋家庄178米,自供暖,https://bj.5i5j.com/zufang/41480206.html,2室1厅,随时看房,中楼层/29层,塔楼,80,刘家窑,押2付3,中装,6800
永泰西里,南北,整租,距离地铁永泰庄509米,集中供暖,https://bj.5i5j.com/zufang/41483380.html,2室1厅,随时看房,中楼层/6层,板楼,70,清河,押2付3,精装,6100
新明胡同,南,整租,距离地铁积水潭1291米,集中供暖,https://bj.5i5j.com/zufang/41493645.html,1室1厅,随时看房,中楼层/16层,塔楼,44,德胜门,押2付3,中装,5500
百朗园,南北,整租,距离地铁五棵松884米,集中供暖,https://bj.5i5j.com/zufang/41494544.html,3室1厅,电话预约,低楼层/19层,板塔结合,140,五棵松,押1付3,中装,15000
翠成馨园D区,东南,整租,0,自供暖,https://bj.5i5j.com/zufang/41496410.html,1室1厅,随时看房,高楼层/28层,塔楼,56,欢乐谷,押2付3,精装,4200
永泰东里,南北,整租,距离地铁永泰庄408米,集中供暖,https://bj.5i5j.com/zufang/41465822.html,2室1厅,随时看房,顶层/6层,板楼,70,清河,押1付3,精装,6000
融科香雪兰溪,南北,整租,0,集中供暖,https://bj.5i5j.com/zufang/41467038.html,2室1厅,随时看房,中楼层/20层,板楼,84,马驹桥,押2付3,中装,3800
安外东河沿,西,整租,距离地铁雍和宫347米,集中供暖,https://bj.5i5j.com/zufang/41467043.html,1室1厅,随时看房,底层/21层,板楼,40,安定门,押1付3,中装,5600
云景西里南区,南,整租,距离地铁梨园907米,集中供暖,https://bj.5i5j.com/zufang/41468598.html,1室1厅,随时看房,中楼层/6层,板楼,50,梨园,押2付3,精装,3500
泰中花园,东西,整租,距离地铁高米店南1218米,集中供暖,https://bj.5i5j.com/zufang/41468878.html,2室1厅,随时看房,底层/6层,板楼,94,枣园,押2付3,精装,4200
怡海花园恒泰园,南北,整租,距离地铁科怡路348米,集中供暖,https://bj.5i5j.com/zufang/41472177.html,3室1厅,随时看房,中楼层/6层,板楼,107,科技园区,押1付3,精装,8500
